county,year,election_type,municipality,district_name,office,term_years,is_unexpired,seats_available,candidates_filed,candidate_count,is_uncontested,seats_unfilled,seats_unfilled_observed,source_url,source_document,source_page,also_on
hunterdon,2023,general,,CLINTON -GLEN GARDNER SCHOOL DISTRICT,School Board Member,3,False,2,Meghan Moore; Dan Brkich,2,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,3,
hunterdon,2023,general,,HUNTERDON CENTRAL REGIONAL HIGH SCHOOL,School Board Member,3,False,1,Dorothea Kellogg; Maria Prendamano,2,False,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,1,
hunterdon,2023,general,ALEXANDRIA TOWNSHIP,,School Board Member,3,False,3,Renee Bagley; Eric Joseph; Marybeth Madlinger; Marci Nardone,4,False,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,2,
hunterdon,2023,general,ALEXANDRIA TOWNSHIP,DELAWARE VALLEY REGIONAL HIGH SCHOOL,School Board Member,3,False,1,Elizabeth Strochak; William C. Metz Jr.; William R. Prouty,3,False,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,1,
hunterdon,2023,general,ALEXANDRIA TOWNSHIP,DELAWARE VALLEY REGIONAL HIGH SCHOOL,School Board Member,3,False,1,Thomas Loughlin,1,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,1,
hunterdon,2023,general,BETHLEHEM TOWNSHIP,,School Board Member,3,False,3,Daniel P. MacDonnell; Jenny Holmes,2,True,1,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,2,
hunterdon,2023,general,BLOOMSBURY BOROUGH,,School Board Member,3,False,1,Daniela Albright,1,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,2,
hunterdon,2023,general,CALIFON BOROUGH,,School Board Member,3,False,2,Rita G. Lemley; Netz Sacro,2,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,2,
hunterdon,2023,general,CALIFON BOROUGH/TEWKSBURY TOWNSHIP,NORTH HUNTERDON - VOORHEES REGIONAL HIGH SCHOOL DISTRICT,School Board Member,3,False,1,Kristina Cagno; Debra Bonomi,2,False,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,1,
hunterdon,2023,general,CITY OF LAMBERTVILLE,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,School Board Member,3,False,2,Roni Todd-Marino; Meagan Elaine Warner,2,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,2,
hunterdon,2023,general,CLINTON TOWN/FRANKLIN TOWNSHIP/GLEN GARDNER BOROUGH,NORTH HUNTERDON - VOORHEES REGIONAL HIGH SCHOOL DISTRICT,School Board Member,3,False,1,Shelley Crisologo; Brendan McIsaac,2,False,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,2,
hunterdon,2023,general,CLINTON TOWNSHIP,,School Board Member,3,False,3,Lana Brennan; Matthew Fernandes; Stacie- Ann Creighton,3,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,3,
hunterdon,2023,general,CLINTON TOWNSHIP/LEBANON BOROUGH,NORTH HUNTERDON - VOORHEES REGIONAL HIGH SCHOOL DISTRICT,School Board Member,3,False,2,Cynthia Reyes; Bryan R. Chapman; Robert Kirchberger; Lorenzo Forlini,4,False,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,1,
hunterdon,2023,general,DELAWARE TOWNSHIP,,School Board Member,3,False,3,Jennifer Martin; Adam Pate; John Kafarski,3,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,3,
hunterdon,2023,general,EAST AMWELL TOWNSHIP,,School Board Member,3,False,3,Paul Hutchins; Carole Ammann; Peter J. Miller,3,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,3,
hunterdon,2023,general,FRANKLIN TOWNSHIP,FLEMINGTON-RARITAN REGIONAL SCHOOL DIST.,School Board Member,3,False,2,Colleen Cummins; Craig Metz,2,True,0,True,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,school-board-candidates.pdf,3,
