county,year,election_type,municipality,district_name,office,term_years,is_unexpired,seats_available,candidates_filed,candidate_count,is_uncontested,seats_unfilled,seats_unfilled_stated,source_url,source_document,source_page,also_on
Bergen,2023,general,Alpine,Local Board of Education,School Board Member,3,False,2,PHILIP SIMOTAS; MARIA DiBIASE,2,True,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Alpine.pdf,b2023-Alpine.pdf,1,
Bergen,2023,general,Fair Lawn,Local Board of Education,School Board Member,3,False,3,MANDA PRASHANT PASARKAR; JULIE MAHAN; JEANNE L. BROWNE; RITA FAYVELEVICH,4,False,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/FairLawn.pdf,b2023-FairLawn.pdf,1,
Bergen,2023,general,Harrington Park,Local Board of Education,School Board Member,3,False,2,LORILYNN O’NEIL; STEPHEN S. HAHM; PETER TOOMIN; JENNIFER HELFMAN,4,False,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/HarringtonPark.pdf,b2023-HarringtonPark.pdf,1,
Bergen,2023,general,Teaneck,Local Board of Education,School Board Member,3,False,3,GERALD B. KIRSHENBAUM; DAVID GRUBER; JAMES WOLFF; NADIA N. HOSEIN; JOSÉ ZENON; SELEENE RAQUEL WONG,6,False,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Teaneck.pdf,teaneck-2023.pdf,1,
Bergen,2024,general,Alpine,Local Board of Education,School Board Member,3,False,2,WILLIAM B. CROWE; MAUREEN CHEESMAN,2,True,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2024-general/Alpine.pdf,b2024-Alpine.pdf,1,
Bergen,2024,general,Hackensack,Local Board of Education,School Board Member,3,False,3,LEILA AMIRHAMZEH; JENNIFER MAURY HARRIS; EUGINA “GINA” GILMORE; MARLENE SOMERVILLE; KHADIJA POLLARD; LANCELOT POWELL,6,False,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2024-general/Hackensack.pdf,b2024-Hackensack.pdf,1,
Bergen,2024,general,Harrington Park,Local Board of Education,School Board Member,3,False,2,ANN MARIE STOUT; CHI CHO; MATTHEW LEHMANN,3,False,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2024-general/HarringtonPark.pdf,b2024-HarringtonPark.pdf,1,
Bergen,2024,general,Ridgewood,Local Board of Education,School Board Member,1,True,1,SHEILA MARY BROGAN,1,True,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2024-general/Ridgewood.pdf,b2024-Ridgewood.pdf,1,
Bergen,2025,general,Alpine,Local Board of Education,School Board Member,3,False,1,SHAI BARBI,1,True,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2025/Alpine-Gen25.pdf,b2025-Alpine.pdf,1,
Bergen,2025,general,Dumont,Local Board of Education,School Board Member,3,False,3,JEFFREY R. POLLACK; EMILY D. WAVER,2,True,1,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2025/Dumont-Gen25.pdf,b2025-Dumont.pdf,1,
Bergen,2025,general,Hackensack,Local Board of Education,School Board Member,3,False,3,MELANIE J. ALSTON-BALAPUTRA; DEMETRIUS CARROLL; MICHAEL R. JONES; ALLEN H. SIMMONS II,4,False,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2025/Hackensack-Gen25.pdf,b2025-Hackensack.pdf,1,
Bergen,2025,general,Ridgewood,Local Board of Education,School Board Member,3,False,1,SHEILA MARY BROGAN,1,True,0,,https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2025/Ridgewood-Gen25.pdf,b2025-Ridgewood.pdf,1,
Essex,2022,general,Borough of Caldwell,For Members of the Board of Education,School Board Member,3,False,2,John J. KING; Terri (Theresa) DiMARTINI; Danielle Gerard MACK; Paula I. GETTY; Dan CIPOLETTI,5,False,0,,https://www.essexclerk.com/_Content/pdf/Elect%20Information/Essex-Sample-Ballots-2022g-Alphabetical.pdf,sb-2022-general.pdf,3,sb-2022-general.pdf#p25 (Township of West Caldwell)
Essex,2022,general,City of Orange Township,For Members of the Board of Education,School Board Member,3,False,3,Tyrone Jon TARVER; Anthony S. NIMELY; Shawneque JOHNSON; Sueann GRAVESANDE; Guadalupe CABIDO,5,False,0,,https://www.essexclerk.com/_Content/pdf/Elect%20Information/Essex-Sample-Ballots-2022g-Alphabetical.pdf,sb-2022-general.pdf,21,
Essex,2022,general,Township of Livingston,For Members of the Board of Education,School Board Member,3,False,2,Seth COHEN; Marjorie WANG; Parul Aneja KHEMKA; Adriana BORDONI,4,False,0,,https://www.essexclerk.com/_Content/pdf/Elect%20Information/Essex-Sample-Ballots-2022g-Alphabetical.pdf,sb-2022-general.pdf,9,
Essex,2022,general,Township of West Orange,For Members of the Board of Education,School Board Member,3,False,2,Gregory M. TYNES; Jennifer TUNNICLIFFE; Robert IVKER,3,False,0,,https://www.essexclerk.com/_Content/pdf/Elect%20Information/Essex-Sample-Ballots-2022g-Alphabetical.pdf,sb-2022-general.pdf,26,
Essex,2023,general,Borough of Caldwell,For Member of the Board of Education,School Board Member,3,False,1,Marisa LANDOLFI-JEFFERSON; John KING,2,False,0,,https://www.essexclerk.com/_Content/pdf/Essex-Sample-Ballots-General-Election.pdf,sb-2023-general.pdf,5,sb-2023-general.pdf#p32 (Township of West Caldwell)
Essex,2023,general,City of Orange Township,For Members of the Board of Education,School Board Member,3,False,3,Jeff WINGFIELD; Samantha CROCKETT; Fatimah TURNER; India WILLIAMS,4,False,0,,https://www.essexclerk.com/_Content/pdf/Essex-Sample-Ballots-General-Election.pdf,sb-2023-general.pdf,28,
Essex,2023,general,Township of Livingston,For Member of the Board of Education,School Board Member,3,False,1,Harshavardhan RAJU; Fang GONG,2,False,0,,https://www.essexclerk.com/_Content/pdf/Essex-Sample-Ballots-General-Election.pdf,sb-2023-general.pdf,16,
Essex,2023,general,Township of West Orange,For Member of the Board of Education,School Board Member,3,False,1,Maria VERA; Melinda C. HUERTA,2,False,0,,https://www.essexclerk.com/_Content/pdf/Essex-Sample-Ballots-General-Election.pdf,sb-2023-general.pdf,33,
Essex,2025,general,Borough of Caldwell,Board of Education,School Board Member,3,False,2,Terri DiMARTINI GREENLEE; Danielle MACK,2,True,0,,https://www.essexclerk.com/_Content/pdf/Essex-2025-General-Election-Sample-Ballots.pdf,sb-2025-general.pdf,4,sb-2025-general.pdf#p30 (Township of West Caldwell)
Essex,2025,general,City of Orange Township,Board of Education,School Board Member,3,False,3,Antoine TYRECE CHAPMAN JR.; Shawneque JOHNSON; Jared ADAMS; Andrew COATES; Tyrone Jon TARVER; Darnnelle GIBBS; Carolyn McMILLIAN; Veronica SCOTT,8,False,0,,https://www.essexclerk.com/_Content/pdf/Essex-2025-General-Election-Sample-Ballots.pdf,sb-2025-general.pdf,26,
Essex,2025,general,Township of Livingston,Board of Education,School Board Member,3,False,2,Seth COHEN; Parul Aneja KHEMKA,2,True,0,,https://www.essexclerk.com/_Content/pdf/Essex-2025-General-Election-Sample-Ballots.pdf,sb-2025-general.pdf,16,
Essex,2025,general,Township of Verona,Board of Education,School Board Member,3,False,2,Sarina KNOETIG; Matthew PERNA,2,True,0,,https://www.essexclerk.com/_Content/pdf/Essex-2025-General-Election-Sample-Ballots.pdf,sb-2025-general.pdf,29,
Hunterdon,2023,general,Alexandria Township,Delaware Valley Regional High School,School Board Member,3,False,1,Elizabeth Strochak; William C. Metz Jr.; William R. Prouty,3,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,UnOfficial School Board Candidates 2023 (filed candidates),1,
Hunterdon,2023,general,Clinton Township/Lebanon Borough,North Hunterdon - Voorhees Regional High School District,School Board Member,3,False,2,Cynthia Reyes; Bryan R. Chapman; Robert Kirchberger; Lorenzo Forlini,4,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,UnOfficial School Board Candidates 2023 (filed candidates),1,
Hunterdon,2023,general,Kingwood Township,Hunterdon Central Regional High School,School Board Member,3,False,1,Dorothea Kellogg; Maria Prendamano,2,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,UnOfficial School Board Candidates 2023 (filed candidates),1,
Hunterdon,2023,general,West Amwell Township,South Hunterdon Regional School District,School Board Member,3,False,1,Michael Strouse; Jennifer Batchellor,2,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,UnOfficial School Board Candidates 2023 (filed candidates),1,
Hunterdon,2024,general,Alexandria Township,Delaware Valley Regional High School,School Board Member,3,False,1,Elizabeth Strochak; Marci Nardone,2,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/15174/UnOfficial--School-Board-Candidates-2024-PDF,UnOfficial School Board Candidates 2024 (8/19/2024),1,
Hunterdon,2024,general,Delaware Township,Clinton -Glen Gardner School District,School Board Member,3,False,3,Daniel Aiello; Mary K. Lyons; Jessica Stahl; Sarah Waverka; Christopher Leon,5,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/15174/UnOfficial--School-Board-Candidates-2024-PDF,UnOfficial School Board Candidates 2024 (8/19/2024),1,
Hunterdon,2024,general,Kingwood Township,Delaware Valley Regional High School,School Board Member,3,False,1,Charles J. McBride Jr.; Erin Pinelli,2,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/15174/UnOfficial--School-Board-Candidates-2024-PDF,UnOfficial School Board Candidates 2024 (8/19/2024),1,
Hunterdon,2024,general,West Amwell Township,South Hunterdon Regional School District,School Board Member,3,False,1,Jennifer Batchellor,1,True,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/15174/UnOfficial--School-Board-Candidates-2024-PDF,UnOfficial School Board Candidates 2024 (8/19/2024),1,
Hunterdon,2025,general,Alexandria Township,Alexandria Township School District,School Board Member,3,False,3,Darren J. Dalley; Catherine Sutter; Wanda Quinones; April Abelman; Ann Marie Austin; Lorraine Hubbard,6,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/17436/UnOfficial-School-Board-Candidates-2025-PDF,Annual School Election Ballot Draw 2025 (8/11/2025),1,
Hunterdon,2025,general,East Amwell Township,Clinton -Glen Gardner School District,School Board Member,3,False,3,Joan McGee; Jason Nelson; Sean Murphy; Carole McGee,4,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/17436/UnOfficial-School-Board-Candidates-2025-PDF,Annual School Election Ballot Draw 2025 (8/11/2025),1,
Hunterdon,2025,general,Lebanon Borough,Flemington-Raritan Regional School Dist.,School Board Member,2,True,1,,0,True,1,1,https://www.co.hunterdon.nj.us/DocumentCenter/View/17436/UnOfficial-School-Board-Candidates-2025-PDF,Annual School Election Ballot Draw 2025 (8/11/2025),1,
Hunterdon,2025,general,West Amwell Township,South Hunterdon Regional School District,School Board Member,3,False,1,Paul T. Falcigno,1,True,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/17436/UnOfficial-School-Board-Candidates-2025-PDF,Annual School Election Ballot Draw 2025 (8/11/2025),1,
Hunterdon,2026,general,Alexandria Township,Alexandria Township School District,School Board Member,3,False,3,Michael Iarkowski; Sean T. Hayes; Renee Bagley; Yasmin E. Hernandez-Manno,4,False,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/20403/UnOfficial-School-Board-Candidates-2026-PDF,UnOfficial School Board Candidates 2026,1,
Hunterdon,2026,general,Clinton Township/Lebanon Borough,North Hunterdon - Voorhees Regional High School District,School Board Member,3,False,2,Lana Brennan; Catherine Emery,2,True,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/20403/UnOfficial-School-Board-Candidates-2026-PDF,UnOfficial School Board Candidates 2026,1,
Hunterdon,2026,general,Kingwood Township,Flemington-Raritan Regional School Dist.,School Board Member,3,False,3,Mandi Valachovic; Geffrey Vitale; Shannon E. Sklodowsky,3,True,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/20403/UnOfficial-School-Board-Candidates-2026-PDF,UnOfficial School Board Candidates 2026,1,
Hunterdon,2026,general,West Amwell Township,South Hunterdon Regional School District,School Board Member,3,False,1,Michael Strouse,1,True,0,,https://www.co.hunterdon.nj.us/DocumentCenter/View/20403/UnOfficial-School-Board-Candidates-2026-PDF,UnOfficial School Board Candidates 2026,1,
